"ID","Model","Classification","ObsNoise","ProcessNoise","TSlength","SimNumber","E","tau","theta","R2","modelform","LEmean","LEmin","LEreg","LEreg_se","Classification2","LEregmin","LEregclass","LEclass"
33,"LPA","periodic",0.01,0,100,"Sim.1",2,1,0,0.99980473871028,"gr-ut",0.805661620963717,0.760976958866939,0.515458205936042,0.16572316638623,"not chaotic",0.19064079981903,"chaotic","chaotic"
34,"LPA","periodic",0.01,1,100,"Sim.1",2,1,6,0.996241169067174,"gr-ut",-0.159720873011078,-0.191954584682949,0.509367252974672,0.182455080265923,"not chaotic",0.151755295653462,"chaotic","not chaotic"
35,"LPA","periodic",0.01,2,100,"Sim.1",3,1,4,0.977105286430161,"gr-log",-0.112170475495868,-0.136139712782479,0.673204086187642,0.0944560994890747,"not chaotic",0.488070131189055,"chaotic","not chaotic"
36,"LPA","periodic",0.01,3,100,"Sim.1",6,1,0.5,0.975613335522344,"ut-ut",-0.00446147496021672,-0.00680341820033778,0.249889355281383,0.00228523779960368,"not chaotic",0.24541028919416,"chaotic","not chaotic"
37,"LPA","periodic",0.1,0,100,"Sim.1",3,1,1.5,0.97562541252697,"ut-ut",0.0026865961416749,-0.00313963433285448,0.716665518413459,0.0870692898090483,"not chaotic",0.546009710387725,"chaotic","not chaotic"
38,"LPA","periodic",0.1,1,100,"Sim.1",3,1,6,0.985659267477786,"gr-ut",-0.343166359290115,-0.384923432787663,0.59649900851006,0.115431823386253,"not chaotic",0.370252634673005,"chaotic","not chaotic"
39,"LPA","periodic",0.1,2,100,"Sim.1",2,1,4,0.979026377212715,"gr-log",-0.551903338319396,-0.592279115227961,0.584644460908866,0.201907704555431,"not chaotic",0.188905359980221,"chaotic","not chaotic"
40,"LPA","periodic",0.1,3,100,"Sim.1",2,2,6,0.948346854620336,"gr-log",-0.155245497389205,-0.174810470122624,0.557612755266616,0.20560986705055,"not chaotic",0.154617415847539,"chaotic","not chaotic"
41,"LPA","periodic",0.2,0,100,"Sim.1",4,4,6,0.965247146129167,"ut-ut",-0.0364096586479581,-0.0430943955232148,0.129492170732654,0.386502067591509,"not chaotic",-0.628051881746703,"not chaotic","not chaotic"
42,"LPA","periodic",0.2,1,100,"Sim.1",4,4,6,0.968304707449232,"gr-ut",-0.0341934533431741,-0.0412378893262653,0.151248984307993,0.396284804652653,"not chaotic",-0.625469232811208,"not chaotic","not chaotic"
43,"LPA","periodic",0.2,2,100,"Sim.1",4,5,0.3,0.945802577867199,"ut-ut",0.00201102186387172,0.00165502237270561,0.369228028067106,0.251364145796931,"not chaotic",-0.123445697694878,"not chaotic","not chaotic"
