"MainID","R2abund","R2gr","predictable_ag","modelform","E","tau","theta","LEmean","LEmin","LEmin_mo","LEmin_gen","LEclass","LEmin1d","LEclass1d"
1153,0.709459091914867,0.107486791330709,"a","gr-log",1,1,1.5,-0.256493566513766,-0.275717553512242,-0.0229764627926869,-0.229764627926869,"not chaotic",-0.275717553512242,"not chaotic"
1154,0.315841448488659,0.173471710091569,"a","gr-ut",3,1,1.5,-0.321772094756248,-0.343816713452762,-0.0286513927877301,-0.286513927877301,"not chaotic",-0.626657962006158,"not chaotic"
1155,0.742165038579165,0.469045572343904,"ag","fd-ut",3,2,4,0.147464674718624,0.12811001121774,0.010675834268145,0.12811001121774,"chaotic",-0.147525581062032,"not chaotic"
1157,0.0451459751574335,0.481076001316792,"g","gr-ut",1,1,0.75,-1.20202053168891,-1.22995769897964,-0.10249647491497,-1.0249647491497,"not chaotic",-1.22995769897964,"not chaotic"
1158,0.299209537951342,0.322292202294402,"ag","fd-ut",1,1,1.5,-0.739819376047921,-0.785842049730213,-0.0654868374775177,-0.785842049730213,"not chaotic",-0.785842049730213,"not chaotic"
1159,0.356524732407546,0.255475520910394,"ag","gr-log",5,1,0,-0.115041410023799,-0.128333262869964,-0.010694438572497,-0.128333262869964,"not chaotic",-0.695869253519558,"not chaotic"
1161,0.86599710674047,-0.372634854260856,"a","fd-ut",5,1,0,-0.136176323098772,-0.145507449949993,-0.0121256208291661,-0.291014899899986,"not chaotic",-0.16164255017042,"not chaotic"
1162,0.169199670759786,0.140010809384482,"none","fd-ut",1,1,0,-0.641808313281149,-0.644059372226736,-0.053671614352228,-0.644059372226736,"not chaotic",-0.644059372226736,"not chaotic"
1163,0.598502961331307,0.105470742768655,"a","fd-ut",1,1,0.5,-0.160094600929913,-0.162606430145972,-0.0135505358454977,-0.135505358454977,"not chaotic",-0.162606430145972,"not chaotic"
1166,0.558161844281136,0.117661991791172,"a","fd-ut",1,1,0,-0.258901783150714,-0.26020341978746,-0.0216836183156217,-0.216836183156217,"not chaotic",-0.26020341978746,"not chaotic"
1169,0.23112668232078,0.352258028880849,"ag","fd-ut",2,1,1.5,-0.408870816376015,-0.444720660434755,-0.0370600550362296,-0.444720660434755,"not chaotic",-0.194429849805816,"not chaotic"
1170,0.272570350108612,0.17588074981269,"a","fd-ut",1,1,0,-0.594653676443282,-0.597456604354776,-0.049788050362898,-0.597456604354776,"not chaotic",-0.597456604354776,"not chaotic"
1173,0.196078962148642,0.57341644877328,"g","gr-log",3,2,6,0.13796789142873,0.104922257451985,0.00874352145433211,0.0874352145433211,"chaotic",-0.130428053491161,"not chaotic"
1176,0.413094689441697,0.0997226524864488,"a","fd-ut",1,1,0,-0.374290250104359,-0.374624010073583,-0.0312186675061319,-0.312186675061319,"not chaotic",-0.374624010073583,"not chaotic"
1178,0.287949566135624,0.104116271147976,"a","gr-log",1,1,0.1,-0.482435551162167,-0.49228731141685,-0.0410239426180708,-0.49228731141685,"not chaotic",-0.49228731141685,"not chaotic"
