"MainID","datasetlength","tslengthcat","R2abund","R2gr","predictable_ag","E","tau","theta","LEmean","LEmin","LEmin_mo","LEmin_gen","LEclass"
2726,46,"full",0.373875111037911,0.0438395398326826,"a",1,1,0,-0.448452477801519,-0.460592730651624,-0.038382727554302,-0.38382727554302,"not chaotic"
2759,57,"full",0.197113225107962,0.452686638815227,"g",4,1,0,-0.166317505783024,-0.167730175639998,-0.0139775146366665,-0.335460351279997,"not chaotic"
2770,33,"full",0.227103935792558,0.714831095988856,"ag",1,4,3,-0.000333197343085495,-0.0128270133569677,-0.00106891777974731,-0.0106891777974731,"not chaotic"
2771,33,"full",0.503238912016041,0.198469591828136,"a",2,1,2,-0.33187980398099,-0.362220188136921,-0.0301850156780767,-0.301850156780767,"not chaotic"
2772,34,"full",0.685465940647836,-0.00264240101839652,"a",1,1,0,-0.221561268029097,-0.236803574660882,-0.0197336312217402,-0.236803574660882,"not chaotic"
2773,40,"full",0.23668036150776,0.000571813015567302,"a",1,1,0,-0.439403296422279,-0.455402392393602,-0.0379501993661335,-1.36620717718081,"not chaotic"
2775,40,"full",0.890109348509663,-0.134593992958342,"a",1,1,0,0.00256544664863118,-0.0070685861322045,-0.000589048844350375,-0.0070685861322045,"not chaotic"
2777,40,"full",0.162787403871651,0.375915730249215,"g",2,1,1.5,-0.47624726187266,-0.664599832481984,-0.0553833193734987,-1.32919966496397,"not chaotic"
5019,46,"full",0.673079628738786,0.658502917732031,"ag",3,3,4,-0.00606243954147435,-0.0184904457849925,-0.00154087048208271,-0.0462261144624812,"not chaotic"
5020,36,"full",0.75675006479251,0.201622930973774,"ag",1,1,0,-0.386243283010047,-0.447252389122168,-0.0372710324268473,-1.11813097280542,"not chaotic"
5021,45,"full",0.440291682702457,0.210923831556943,"ag",4,1,1,-0.116054966544064,-0.216689871895291,-0.0180574893246075,-0.000541724679738226,"not chaotic"
5037,48,"full",0.162591028566465,0.595745546196743,"g",3,1,2,-0.233246699167856,-0.274092272289407,-0.0228410226907839,-0.41113840843411,"not chaotic"
5039,50,"full",0.109635994608849,0.486885915124805,"g",3,2,3,0.0520834505377138,0.0366375415930018,0.00305312846608348,0.0732750831860035,"chaotic"
6633,36,"full",0.926829423563209,0.703778816169332,"ag",2,2,3,-0.0673396368992747,-0.082980895933723,-0.00691507466114358,-0.082980895933723,"not chaotic"
6635,121,"full",0.161989250696822,0.301080800930893,"g",3,1,0,-0.361603643842666,-0.385499820569765,-0.385499820569765,-4.62599784683718,"not chaotic"
5040,51,"full",0.463953717244099,0.603759444911871,"ag",3,1,3,-0.0182960864439828,-0.0576676253200771,-0.00480563544333976,-0.115335250640154,"not chaotic"
5043,49,"full",-0.0513765453399115,0.494310675345392,"g",1,5,0,-0.411106778482899,-0.414169889164285,-0.0345141574303571,-0.828339778328571,"not chaotic"
5044,49,"full",0.471654982025117,0.12495139304849,"a",1,1,0,-0.26666476164253,-0.266814116088868,-0.0222345096740723,-0.533628232177736,"not chaotic"
6104,168,"full",0.246084762375368,0.644553107224996,"ag",4,6,1,0.0533874568933079,0.0482647384722449,0.0482647384722449,0.00118200344518528,"chaotic"
6105,168,"full",0.642197109941843,0.835662655339795,"ag",2,3,8,0.291725151991805,0.275285096294315,0.275285096294315,0.00852557943223495,"chaotic"
6106,168,"full",0.139675302002415,0.564500331039646,"g",4,6,8,0.213542267649902,0.193364741863761,0.193364741863761,0.00392530425983434,"chaotic"
6107,168,"full",0.13276805186653,0.655442661397538,"g",2,4,8,0.203308380254353,0.132113978591235,0.132113978591235,0.00293293032472541,"chaotic"
6109,168,"full",0.265593287153816,0.585861520048951,"ag",3,1,4,0.718471915636884,0.684759469866138,0.684759469866138,0.0174613664815865,"chaotic"
6110,168,"full",0.0455360431976601,0.532745901080389,"g",5,3,8,0.293452537306721,0.273777781634053,0.273777781634053,0.00684444454085133,"chaotic"
6111,168,"full",0.688747103700763,0.581304363062407,"ag",6,1,3,0.599075019276562,0.575364494910471,0.575364494910471,0.0159951329585111,"chaotic"
6112,168,"full",0.0175541383790178,0.498577897777584,"g",1,1,0,-0.485292710372634,-0.487096862235698,-0.487096862235698,-0.0115685504780978,"not chaotic"
6114,168,"full",0.414024310374187,0.890935777732558,"ag",3,4,4,0.039646396687844,0.0314479738924894,0.0314479738924894,0.00126389407073915,"chaotic"
6115,168,"full",0.471029144179412,0.859912384187624,"ag",4,6,4,0.0743095662316789,0.0658029479933474,0.0658029479933474,0.00290651621286615,"chaotic"
6116,168,"full",0.754786324919299,0.82311875350292,"ag",6,3,3,0.0880320126098941,0.0732470696961883,0.0732470696961883,0.00274676511360706,"chaotic"
6117,168,"full",0.546143865955393,0.620307705958348,"ag",2,1,4,-0.0213290281664914,-0.0340167083172541,-0.0340167083172541,-0.00132324995354118,"not chaotic"
6118,168,"full",0.238617144207505,0.884331966997492,"ag",6,3,3,0.0787203507920982,0.0550998155141203,0.0550998155141203,0.00225909243607893,"chaotic"
6119,168,"full",0.439554891420187,0.815736755429566,"ag",6,2,4,0.0862422016021019,0.0725216170544157,0.0725216170544157,0.00246573497985013,"chaotic"
6120,134,"full",0.365354919852059,0.474542038119174,"ag",5,2,6,0.454397499965012,0.442283400859176,0.442283400859176,0.021256140245292,"chaotic"
6121,168,"full",0.276853618342923,0.556438545972621,"ag",5,1,2,0.357421831350112,0.333833534869794,0.333833534869794,0.0116378079146183,"chaotic"
6122,168,"full",0.15582779898611,0.765659611010762,"g",6,4,3,0.13405552853773,0.110930375303794,0.110930375303794,0.00149447864263603,"chaotic"
6125,168,"full",0.573623537939474,0.531049627378727,"ag",2,1,1.5,-0.253312669345844,-0.261479575691991,-0.261479575691991,-0.0366071405968787,"not chaotic"
6126,168,"full",0.0115371488449425,0.461492750039891,"g",5,1,8,0.684314075264409,0.67076126069563,0.67076126069563,NA,"chaotic"
6127,156,"full",0.0668424245283867,0.530566259974637,"g",2,4,4,0.0790669163155537,0.075872846025093,0.075872846025093,0.0126707652861905,"chaotic"
6128,168,"full",0.33778057386907,0.619199273529164,"ag",1,1,4,0.519892870613247,0.50534989518777,0.50534989518777,NA,"chaotic"
6129,168,"full",0.235583444233078,0.668530127579303,"ag",4,6,1.5,0.0188077760331821,0.0174027221471423,0.0174027221471423,0.0174027221471423,"chaotic"
6130,168,"full",0.105737279241204,0.560490503101178,"g",6,1,4,0.176244643403782,0.162503679798854,0.162503679798854,0.162503679798854,"chaotic"
6131,168,"full",0.553166711501673,0.625087191329015,"ag",6,1,4,0.184143551287944,0.166276334324358,0.166276334324358,0.103091327281102,"chaotic"
6132,168,"full",0.298530893210447,0.76624197792702,"ag",5,2,3,0.0102304294412748,0.00761474681134802,0.00761474681134802,0.00573390434894506,"not chaotic"
6133,168,"full",0.505221836582443,0.897814520275538,"ag",6,4,4,0.0269364060812565,0.0254776029750224,0.0254776029750224,0.0152865617850134,"chaotic"
6134,168,"full",0.476807676837404,0.785552402839623,"ag",6,2,3,0.0157230265186135,0.0149902301935102,0.0149902301935102,0.0157397417031857,"chaotic"
6135,168,"full",0.526846738005821,0.820845747806113,"ag",6,1,2,0.0573618581674287,0.0413632953716384,0.0413632953716384,0.0261953749588586,"chaotic"
6136,168,"full",0.324390923757063,0.912300795363849,"ag",5,3,4,0.0235166083226164,0.0102195221464298,0.0102195221464298,0.00702081171459726,"chaotic"
6138,168,"full",0.161815492032886,0.516486898630809,"g",3,1,3,0.265460022417726,0.244694787941362,0.244694787941362,NA,"chaotic"
6139,168,"full",0.293529676519832,0.744106604053476,"ag",6,4,0.75,0.0227860637363018,0.0190039719153504,0.0190039719153504,NA,"chaotic"
6140,168,"full",0.242849235011661,0.3763237412164,"ag",2,1,8,0.282145386803571,0.268456855874295,0.268456855874295,NA,"chaotic"
6141,168,"full",0.155173578011934,0.369939056401108,"g",6,1,1.5,-0.148604557048786,-0.150742597315278,-0.150742597315278,NA,"not chaotic"
6524,126,"full",0.309204748892823,0.488582263261881,"ag",6,2,0,-0.00314005861611588,-0.011366381746858,-0.00568319087342901,-0.011366381746858,"not chaotic"
6525,126,"full",0.415987049450831,0.154954265795246,"a",5,1,4,-0.012171508019081,-0.0350985035201324,-0.0175492517600662,-0.0350985035201324,"not chaotic"
6528,48,"full",0.761058323656721,0.63245149013713,"ag",1,3,6,0.172462686840543,0.15556481197251,0.0129637343310425,0.15556481197251,"chaotic"
6529,30,"full",0.968778956431283,0.134928555650364,"a",3,1,0,0.0549119808705551,0.0528994218688209,0.00440828515573508,0.0528994218688209,"chaotic"
6530,37,"full",0.345336215621871,0.156698226710319,"a",1,1,0,-0.55483361883238,-0.626102248572463,-0.0521751873810386,-0.521751873810386,"not chaotic"
6768,121,"full",0.189657463378821,0.254850011875632,"g",1,1,0.3,-0.461552744569884,-0.463814954646917,-0.0386512462205765,-0.0386512462205765,"not chaotic"
6789,197,"full",0.0658635836901159,0.51663020457199,"g",2,6,8,0.0170660787145495,0.01586570722474,0.01586570722474,0.571165460090639,"chaotic"
6791,197,"full",0.0096406022313813,0.458323747554586,"g",2,1,6,-0.583651143833728,-0.604030097802527,-0.604030097802527,-108.725417604455,"not chaotic"
