MainID,TaxonID,TaxonName,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,Biome,Mass_g,Length_mm,MinAge_mo,Lifespan_mo,Fertility,TrL,Notes,Size_other,GT_other
6114,10676,Coscinodiscus ,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,3.35E-06,0.1857,0.04019,0.04019,NA,1,avg of species; sphere estimate,,
6115,10677,Coscinodiscus concinnus,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,1.97E-05,0.335,0.04417,0.04417,NA,1,Baars 1981; sphere estimate,335 um,31.8 h
6116,10678,Coscinodiscus radiatus,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,1.80E-07,0.07,0.0375,0.0375,NA,1,Baars 1981; sphere estimate,70 um,27 h
6117,10679,Coscinodiscus grani,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Centrales,Marine,1.84E-06,0.152,0.0389,0.0389,NA,1,Baars 1981; sphere estimate,152 um,28 h
6118,10680,Biddulphia ,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Pennales,Marine,6.97E-07,0.11,0.041,0.041,NA,1,avg of species; sphere estimate,,
6119,10681,Biddulphia mobiliensis,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Pennales,Marine,5.24E-07,0.1,0.034,0.034,NA,1,"Trieres mobiliensis; size: Lavigne, A.s & Sunesen, Inés & Sar, Eugenia. (2015). Morphologic, taxonomic and nomenclatural analysis of species of Odontella, Trieres and Zygoceros (Triceratiaceae, Bacillariophyta) from Anegada Bay (Province of Buenos Aires, Argentina).. Diatom Research. 30. 10.1080/0269249X.2015.1110536. gen time: used B. regia of similar size; sphere estimate",100 um,24.5 h
6120,10682,Biddulphia sinensis,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Pennales,Marine,1.07E-06,0.127,0.04806,0.04806,NA,1,Baars 1981; sphere estimate,127 um,34.6 h
6121,10683,Guinardia flaccida,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Pennales,Marine,6.82E-08,0.0507,0.034861111,0.034861111,NA,1,Baars 1981; sphere estimate,50.7 um,25.1 h
6122,10684,Lauderia borealis,Diatom,Chromophyta (Heterokontophyta),Bacillariophyceae,Pennales,Marine,2.25E-08,0.035,0.013472222,0.013472222,NA,1,Baars 1981; sphere estimate,35 um,9.7 h
6125,10687,Ceratium tripos,Dinoflagellate,Dinophyta (Pyrrophyta),Dinophyceae,Peridiniales,Marine,5.00E-07,0.25,0.14,0.14,NA,NA,"Boulding, E. G., & Platt, T. (1986). Variation in photosynthetic rates among individual cells of a marine dinoflagellate. Mar. Ecol. Prog. Ser, 29, 199-203.",100 um body,4.2 d
6126,10688,Peridinium ,Dinoflagellate,Dinophyta (Pyrrophyta),Dinophyceae,Peridiniales,Marine,NA,NA,NA,NA,NA,NA,,,
6127,10689,Noctiluca miliaris,Dinoflagellate,Dinophyta (Pyrrophyta),Dinophyceae,Peridiniales,Marine,6.50E-05,0.5,0.167,0.167,NA,2,"Noctiluca scintillans, sphere estimate, growth rate 0.2 per day; Nakamura, Y. (1998). Growth and grazing of a large heterotrophic dinoflagellate, Noctiluca scintillans, in laboratory cultures. Journal of Plankton Research, 20(9), 1711-1720.",500 um,5 d
6128,10690,Medusoid gonophores,Medusoid gonophore,Cnidaria (Coelenterata),Scyphozoa,Unknown,Marine,NA,NA,NA,NA,NA,NA,,,
6129,10691,Sagitta bipunctata,Arrowworm,Chaetognatha,Unknown,Aphragmophora,Marine,0.012,19,1,1,NA,3,"length: worms, S. elegans at lower latitude has similar adult size and gen time about 30 days (Tiselius Peterson 1986); ellipsoid mass",1.1 mm wide,
6130,10692,Calanus finmarchicus,Planktonic shellfish,Arthropoda,Crustacea,Calanoida,Marine,0.002,4,1,1,NA,2,"Huntley Lopez 1992, worms, Cohen Lough",120 ugC,30 d
6131,10693,Paracalanus parvus,Marine calanoid copepod,Arthropoda,Crustacea,Calanoida,Marine,9.36E-05,1.3,0.62,0.62,NA,2,"Huntley Lopez 1992, worms, Cohen Lough",3 ugC,18.6 d
6132,10694,Pseudocalanus elongatus,Zooplankton,Arthropoda,Crustacea,Unknown,Marine,0.00017,1.7,0.753,0.753,NA,2,"Huntley Lopez 1992, worms, Cohen Lough",8 ugC,22.6 d
6133,10695,Centropages hamatus,Zooplankton,Arthropoda,Crustacea,Calanoida,Marine,7.70E-05,1.4,0.6,0.6,NA,2,"Huntley Lopez 1992, worms, Cohen Lough",7.6 ug,18 d
6134,10696,Oithona similis,Unknown,Arthropoda,Crustacea,Cyclopoida?,Marine,2.40E-05,1.2,1.05,1.05,NA,2,"Huntley Lopez 1992, worms, Cohen Lough",0.36 ugC,31.5 d
6135,10697,Acartia clausi,Copepod,Arthropoda,Crustacea,Calanoida,Marine,2.40E-05,1.4,0.6333,0.6333,NA,2,"Huntley Lopez 1992, worms, Cohen Lough",4 ug C,19 d
6136,10698,Temora longicornis,Marine calanoid copepod,Arthropoda,Crustacea,Calanoida,Marine,0.00012,1.5,0.687,0.687,NA,2,"Huntley Lopez 1992, worms, Cohen Lough",16 ugC,20.6 d
6138,10700,Echinoderm plutei,Sea urchin or Starfish larvae,Echinodermata,Echinoidea,Echinida,Marine,NA,NA,NA,NA,NA,NA,,,
6139,10701,Polychaete larvae,Polychaete larvae,Annelida,Polychaeta,Unknown,Marine,NA,NA,NA,NA,NA,NA,,,
6140,10702,Lamellibranch larvae,Lamellibranch larvae,Mollusca,Bivalvia,Unknown,Marine,NA,NA,NA,NA,NA,2,,,
6141,10703,Gastropod larvae,Snail larvae,Mollusca,Gastropoda,Unknown,Marine,NA,NA,NA,NA,NA,NA,,,
6524,11093,Microtus californicus,California vole,Chordata,Mammalia,Rodentia,Terrestrial,56,172,2,18,18,3,,,
6525,11093,Microtus californicus,California vole,Chordata,Mammalia,Rodentia,Terrestrial,56,172,2,18,18,3,,,
6528,11094,Phalacrocorax aristotelis,Shag,Chordata,Aves,Pelecaniformes,Terrestrial,1769,715,12,180,3,5,,,
6529,11095,Milvus milvus,Red kite,Chordata,Aves,Falconiformes,Terrestrial,1080,635,12,264,2,5,,,
6530,208,Parus caeruleus,Blue tit,Chordata,Aves,Passeriformes,Terrestrial,13.3,115,10,60,12,4,,,
6633,11116,Rissa tridactyla,Kittiwake,Chordata,Aves,Charadriiformes,Terrestrial,407,390,12,240,2,5,,,
6635,30,Somateria mollissima,Common eider,Chordata,Aves,Anseriformes,Terrestrial,2067,605,12,180,5,4,,,
6768,11173,Blissus leucopterus,Chinch bug,Arthropoda,Insecta,Hemiptera,Terrestrial,0.002,3.5,1,3,50,3,"Janes, M. J. (1935). Oviposition studies on the chinch bug, Blissus leucopterus (Say). Annals of the Entomological Society of America, 28(1), 109-120.",,
6789,93,Alosa fallax,Twaite shad,Chordata,Osteichthyes,Clupeiformes,Marine,500,450,36,300,10000,5,,,
6791,94,Anguilla anguilla,Common eel,Chordata,Osteichthyes,Anguilliformes,Marine,2750,1050,180,300,1450000,5,,,
6798,97,Ciliata mustela,5-bearded rockling,Chordata,Osteichthyes,Gadiformes,Marine,50,200,12,36,9000,4,,,
6801,99,Conger conger,Conger,Chordata,Osteichthyes,Anguilliformes,Marine,13176,2000,60,120,3.00E+06,5,,,
6807,101,Dicentrarchus labrax,Bass,Chordata,Osteichthyes,Perciformes,Marine,7500,1000,40,180,230000,5,,,
6820,105,Limanda limanda,Dab,Chordata,Osteichthyes,Pleuronectiformes,Marine,750,300,60,144,80000,5,,,
6821,106,Liparis liparis,Common sea snail,Chordata,Osteichthyes,Perciformes,Marine,200,140,36,120,NA,5,,,
6822,107,Liza ramada,Thinlipped grey mullet,Chordata,Osteichthyes,Perciformes,Marine,1200,450,48,84,NA,5,,,
6825,108,Merlangius merlangus,Whiting,Chordata,Osteichthyes,Gadiformes,Marine,500,350,36,240,4.00E+05,5,,,
6832,110,Platichthys flesus,Flounder,Chordata,Osteichthyes,Pleuronectiformes,Marine,750,350,36,180,1.00E+06,5,,,
6837,113,Pomatoschistus minutus,Sand goby,Chordata,Osteichthyes,Perciformes,Marine,40,70,10,36,2000,5,,,
6848,11103,Solea solea,Sole,Chordata,Osteichthyes,Pleuronectiformes,Marine,300,350,22,240,2.00E+05,5,,,
6851,116,Sprattus sprattus,Sprat,Chordata,Osteichthyes,Clupeiformes,Marine,15,120,14,72,10000,5,,,
6859,118,Trisopterus luscus,Pout,Chordata,Osteichthyes,Gadiformes,Marine,400,300,14,60,4.00E+05,5,,,
6860,119,Trisopterus minutus,Poor-cod,Chordata,Osteichthyes,Gadiformes,Marine,100,200,48,120,20000,5,,,
7065,11323,Thrips imaginis,Apple blossom thrip,Arthropoda,Insecta,Thysanoptera,Terrestrial,0.0001,1,0.5,2.1,300,3,Anderson Gilooly,,
9191,11356,Panaxia dominula-dominula,Scarlet tiger moth,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.3,20,8,11,750,3,"Cook, L. M. (1961). Food-Plant Specialization in the Moth Panaxia dominula L. Evolution, 478-485.",,
9192,11357,Panaxia dominula-medionigra,Scarlet tiger moth,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.3,20,8,11,750,3,"Cook, L. M. (1961). Food-Plant Specialization in the Moth Panaxia dominula L. Evolution, 478-485.",,
9194,74,Alopex lagopus,Arctic fox,Chordata,Mammalia,Carnivora,Terrestrial,5000,873,10,48,9,5,,,
9200,207,Parus major,Great tit,Chordata,Aves,Passeriformes,Terrestrial,19,130,10,60,10,4,,,
